sifrao,nazivo
42715000-1,Mašine za šivenje
42716000-8,"Mašine za pranje rublja, hemijsko èišæenje i sušenje"
42419890-1,Delovi tarnsportera sa korpama
42419900-5,Delovi vitla i druge opreme za dizanje i rukovanje
42420000-6,"Korpe, lopate, grabilice i hvataljke za dizalice ili bagere"
42500000-1,Rashladni ureðaji i ureðaji za provetravanje
42510000-4,"Izmenjivaèi toplote, oprema za klimatizaciju i hlaðenje i ureðaji za filtriranje"
42511000-1,Izmenjivaèi toplote i mašine za pretvaranje vazduha ili drugih gasova u teènost
42511100-2,Izmenjivaèi toplote
42511110-5,Toplotne pumpe
42511200-3,Mašine za pretvaranje vazduha ili drugih gasova u teènost
42512000-8,Instalacije za klimatizaciju
42512100-9,Prozorski ureðaji za klimatizaciju
42512200-0,Zidni ureðaji za klimatizaciju
42512300-1,"Paketni ureðaji za grejanje, prozraèivanje i klimatizaciju (HVAC)"
42512400-2,Ureðaji za klimatizaciju vozila
42512500-3,Delovi ureðaja za klimatizaciju
42512510-6,Regulatori protoka vazduha u klimatizacionim cevima
42512520-9,Rešetke za usmeravanje vazduha
42513000-5,Rashladna oprema i oprema za zamrzavanje
42513100-6,Ureðaji za zamrzavanje
42513200-7,Rashladna oprema
42513210-0,Rashladne vitrine
42513220-3,Rashladni pultovi
42513290-4,Komercijalna rashladna oprema
42514000-2,Mašine i aparati za filtriranje ili preèišæavanje gasova
42514200-4,Elektrostatièki preèišæivaèi vazduha i gasova
42514300-5,Aparati za filtriranje
42514310-8,Vazdušni filteri
42514320-1,Gasni filteri
42515000-9,Kotlovi za centralno grejanje
42520000-7,Ventilaciona oprema
42521000-4,Oprema za izvlaèenje dima
42522000-1,"Ventilatori, izuzev za domaæinstvo"
42522100-2,Delovi ventilatora
42530000-0,Delovi rashladne opreme i opreme za zamrzavanje i toplotne pumpe
42531000-7,Delovi rashladne opreme
42532000-4,Delovi opreme za zamrzavanje
42533000-1,Delovi toplotnih pumpi
42600000-2,Mašine alatke
42610000-5,Mašine alatke za obradu laserom i centri za mašinsku obradu
42611000-2,Specijalne mašine alatke
42612000-9,Centri za mašinsku obradu
42612100-0,Centar za mašinsku obradu sa vodoravnim vretenom
42612200-1,Centar za mašinsku obradu sa vertikalnim vretenom
42620000-8,"Strugovi, mašine alatke za bušenje i glodanje"
42621000-5,Strugovi
42621100-6,CNC strugovi
42622000-2,Mašine za urezivanje spoljnih i unutrašnjih navoja
42623000-9,Glodalice
42630000-1,Alatne mašine za obradu metala
42631000-8,Alatne mašine za završnu obradu metala
42632000-5,Numerièki upravljane mašine za obradu metala
42633000-2,"Ureðaji za savijanje, preklapanje, ravnanje ili poravnavanje"
42634000-9,Mašine za kovanje
42635000-6,Mašine za kovanje u kalupima
42636000-3,Prese
42636100-4,Hidrauliène prese
42637000-0,Alatne mašine za bušenje ili glodanje metala
42637100-1,Alatne mašine za bušenje metala
42637200-2,Velike mašine alatke za bušenje metala
42637300-3,Alatne mašine za glodanje metala
42638000-7,Centar za mašinsku obradu metala
42640000-4,"Alatne mašine za obradu tvrdih materijala, izuzev metala"
42641000-1,"Alatne mašine za obradu kamena, keramike, betona ili stakla"
42641100-2,Alatne mašine za obradu kamena
42641200-3,Alatne mašine za obradu keramike
42641300-4,Alatne mašine za obradu betona
42641400-5,Alatne mašine za obradu stakla
42642000-8,"Alatne mašine za obradu drveta, kostiju, plute, tvrde gume ili tvrde plastiène mase"
42642100-9,Alatne mašine za obradu drveta
42642200-0,Alatne mašine za obradu kostiju
42642300-1,Alatne mašine za obradu plute
42642400-2,Alatne mašine za obradu tvrde gume
42642500-3,Alatne mašine za obradu tvrde plastiène mase
42650000-7,Pneumatski ruèni alati ili ruèni alati na motorni pogon
42651000-4,Pneumatski ruèni alati
42652000-1,Elektromehanièki ruèni alati
42660000-0,"Alati za lemljenje, tvrdo lemljenje i zavarivanje, mašine i oprema za površinsko kaljenje i vruæe ubrizgavanje"
42661000-7,Oprema za lemljenje i tvrdo lemljenje
42661100-8,Oprema za lemljenje
42661200-9,Oprema za tvrdo lemljenje
42662000-4,Oprema za zavarivanje
42662100-5,Oprema za elektro-zavarivanje
42662200-6,"Oprema za zavarivanje, izuzev elektriène"
42663000-1,Ureðaji za površinsko kaljenje
42664000-8,Oprema za topljenje
42664100-9,Oprema za topljenje plastiènih masa
42665000-5,Mašinske brizgaljke metala
42670000-3,Delovi i pribor za mašine alatke
42671000-0,Držaèi za alate
42671100-1,Nosaèi za laboratorijske alate
42671110-4,Stalci za pranje epruveta
42672000-7,Radni držaèi za obradu alatnim mašinama
42673000-4,Posebni nastavci za razdvajanje kod alatnih mašina
42674000-1,Delovi i pribor za mašine alatke za obradu metala
42675000-8,Delovi i pribor za mašine alatke za obradu tvrdih materijala
42675100-9,Delovi lanèanih testera
42676000-5,Delovi ruènih alata
42677000-2,Delovi pneumatskih alata
42700000-3,"Mašine za proizvodnju tekstila, odeæe i kože"
42710000-6,Mašine za tekstil
42711000-3,Mašine za preradu sintetièkih tkanina
42712000-0,Tekstilne predilice
42713000-7,Mašine za tkanje
42714000-4,Mašine za pletenje
42715000-1,Mašine za šivenje
42716000-8,"Mašine za pranje rublja, hemijsko èišæenje i sušenje"
42716100-9,Postrojenja za pranje
42716110-2,Oprema za pranje
42716120-5,Mašine za pranje
42716130-8,Ureðaji za hemijsko èišæenje
42716200-0,Mašine za sušenje
42717000-5,Oprema za peglanje i slaganje rublja
42717100-6,Oprema za slaganje rublja
42718000-2,Mašine za završnu obradu tekstila
42718100-3,Mašine za peglanje
42718200-4,Prese za peglanje
42720000-9,Delovi mašina za proizvodnju tekstila i odeæe
42800000-4,Mašine za proizvodnju hartije ili kartona
42810000-7,Delovi mašina za proizvodnju hartije ili kartona
42900000-5,Razni ureðaji opšte i posebne namene
42910000-8,"Aparati za destilaciju, filtriranje ili preèišæavanje"
42912000-2,Mašine i aparati za filtriranje ili preèišæavanje teènosti
42912100-3,Mašine i aparati za filtriranje teènosti
42912110-6,Aparati za filtriranje blata iz teènosti za bušenje
42912120-9,Hidrociklonski ureðaj
42912130-2,Aparati za filtriranje ili preèišæavanje napitaka
42912300-5,Mašine i aparati za filtriranje ili preèišæavanje vode
42912310-8,Aparati za filtriranje vode
42912320-1,Aparati za uklanjanje vazduha i gasova (deaeraciju)
42912330-4,Aparati za preèišæavanje vode
42912340-7,Aparati za desalinizaciju
42912350-0,Oprema za postrojenje za filtriranje
42913000-9,"Filteri za ulje, benzin i dovod vazduha"
42913300-2,Filteri za ulje
42913400-3,Filteri za benzin
42913500-4,Filteri za dovod vazduha
42914000-6,Oprema za reciklažu
42920000-1,"Mašine za èišæenje boca, za pakovanje i merenje težine i ureðaji za farbanje"
42921000-8,"Mašine za èišæenje, punjenje, pakovanje ili umotavanje boca ili drugih posuda"
42921100-9,Mašine za èišæenje ili sušenje boca ili drugih posuda
42921200-0,"Mašine za punjenje ili zatvaranje boca, konzervi ili drugih posuda"
42921300-1,Mašine za pakovanje ili umotavanje
42921310-4,Mašine za povezivanje
42921320-7,Mašine za pakovanje
42921330-0,Mašine za umotavanje
42923000-2,Mašine za merenje težine i vage
42923100-3,Mašine za merenje težine
42923110-6,Terazije
42923200-4,Vage
42923210-7,Trgovaèke vage
42923220-0,Vage za kontinuirano merenje robe
42923230-3,Kontrolne vage
42924200-1,Ureðaji za izbacivanje mlaza pare ili peska
42924300-2,Oprema za prskanje
42924310-5,Topovi za prskanje
42924700-6,"Mehanièki ureðaji za izbacivanje, raspršivanje ili prskanje"
42924710-9,Aparati za raspršivanje gasa
42924720-2,Oprema za dekontaminaciju
42924730-5,Aparati za èišæenje vodom pod pritiskom
42924740-8,Aparati za èišæenje pod visokim pritiskom
42924790-3,Aparati za neutralizaciju mirisa
42930000-4,"Centrifuge, kalanderi i automati"
42931000-1,Centrifuge
42931100-2,Laboratorijske centrifuge i pribor
42931110-5,Samostojeæe centrifuge
42931120-8,Stone centrifuge
42931130-1,Ulošci za centrifuge
42931140-4,Rotaciona oprema za centrifuge
42932000-8,Kalanderi
42932100-9,Mašine za valjanje
42933000-5,Automati
42933100-6,Automati za prodaju sanitarnih artikala
42933200-7,Automati za prodaju poštanskih maraka
42933300-8,Automati za prodaju robe
42940000-7,Mašine za termièku obradu materijala
42941000-4,Mašine za termièku obradu gasa
42942000-1,Peænice i pribor
42942200-3,Vakuumske peænice
42943000-8,Termostatske kupke i dodaci
42943100-9,Rashladne spirale
42943200-0,Ultrasoniène kupke
42943210-3,Uronjivi termostati
42943300-1,Uronjivi hladnjaci
42943400-2,Rashladni i rashladno – grejni cirkulatori
42943500-3,Recirkulatorni hladnjaci
42943600-4,Cirkulatori na visokim temperaturama
42943700-5,Grejni cirkulatori
42943710-8,Prekrivaèi za kupatila
42950000-0,Delovi za ureðaje opšte namene
42952000-4,Delovi centrifuga
42953000-1,Delovi kalandera
42954000-8,Delovi mašina za valjanje
42955000-5,Delovi mašina za filtriranje
42956000-2,Delovi mašina za preèišæavanje
42957000-9,Delovi mašina za prskanje
42958000-6,Delovi mašina za merenje težine
42959000-3,"Mašine za pranje sudova, izuzev za domaæinstvo"
42960000-3,"Upravljaèki i kontrolni sistemi, štamparska i grafièka oprema, opr. za automatizaciju kancelar. poslovanja i oprema za obradu podataka"
42961000-0,Upravljaèki i kontrolni sistemi
42961100-1,Sistem za kontrolu pristupa
42961200-2,Skada ili njemu ekvivalentan sistem
42961300-3,Sistem za odreðivanje položaja vozila
42961400-4,Dispeèerski sistem
42962000-7,Štamparska i grafièka oprema
42962100-8,Sistem za štampanje na foliju
42962200-9,Štamparska presa
42962300-0,Grafièke radne stanice
42962400-1,Hektografi
42962500-2,Mašine za graviranje
42963000-4,Presa za izradu kovanica
42964000-1,Oprema za automatizaciju kancelarijskog poslovanja
42965000-8,Oprema za obradu podataka
42965100-9,Sistem za upravljanje skladištima
42965110-2,Skladišni sistemi
42967000-2,Kontroler
42967100-3,Digitalna jedinica za daljinsko upravljanje
42968000-9,Dozatori
42968100-0,Dozatori napitaka
42968200-1,Dozatori sanitarnog materijala
42968300-2,Sistem za doziranje toaletnog papira
42970000-6,"Delovi mašina za sudove i mašina za èišæenje, punjenje, pakovanje ili umotavanje"
42971000-3,Delovi mašina za sudove
42972000-0,Delovi mašina za èišæenje
42973000-7,Delovi mašina za punjenje
42974000-4,Delovi mašina za pakovanje
42975000-1,Delovi mašina za umotavanje
42980000-9,Generatori gasa
42981000-6,Generatori ozona
42990000-2,Razni ureðaji za posebne namene
42991000-9,"Mašine za hartiju, štamparske i knjigovezaèke mašine i njihovi delovi"
42991100-0,Knjigovezaèke mašine
42991110-3,Mašine za prošivanje knjiga
42991200-1,Štamparske mašine
42991210-4,Mašine za ofset štampu
42991220-7,Slovoslagaèke mašine
42991230-0,Kartomati
42991300-2,Sistem za fotoslog
42991400-3,"Sušare za drvo, hartijinu masu, hartiju ili karton"
42991500-4,Delovi štamparskih ili knjigovezaèkih mašina
42992000-6,Elektrièni proizvodi posebne namene
42992100-7,Faradejev kavez
42992200-8,Gluva soba
42992300-9,Elektromagnetska apsorpciona sredstva
42993000-3,Mašine za hemijsku industriju
42993100-4,Hlorinatori
42993200-5,Ureðaji za doziranje
42994000-0,Mašine za obradu gume ili plastiènih masa
42994100-1,Mašine za proizvodnju prozora i okvira od plastiènih masa
42994200-2,Mašine za obradu plastiènih masa
42994220-8,Pribor za laminaciju
42994230-1,Laminatori
42995000-7,Razne mašine za èišæenje
42995100-8,Mašine za pranje tunela
42995200-9,Mašine za èišæenje plaža
42996000-4,Mašine za preradu otpadnih voda
42996100-5,Usitnjivaèi
42996110-8,Usitnjivaèi za preradu otpadnih voda
42996200-6,Prese za otpadne vode
42996300-7,Preèišæivaèi
42996400-8,Mešalice
42996500-9,Rešetke za otpadne vode
42996600-0,Oprema za snabdevanje kiseonikom
42996700-1,Elektro-filteri za gas (precipitatori)
42996800-2,Korita za taloženje
42996900-3,Oprema za preradu mulja
42997000-1,Ureðaji za cevovode
42997100-2,Ureðaji za pregled unutrašnjih površina cevovoda
42997200-3,Ureðaji za èišæenje unutrašnjih površina cevovoda
42997300-4,Industrijski roboti
42998000-8,Sistem za dizanje paleta
42998100-9,Sistem za uzimanje paleta
42999000-5,"Usisivaèi i ureðaji za glaèanje podova, izuzev za domaæinstvo"
42999100-6,"Usisivaèi, izuzev za domaæinstvo"
42999200-7,"Mašine za glaèanje podova, izuzev za domaæinstvo"
42999300-8,"Delovi usisivaèa, izuzev za domaæinstvo"
42999400-9,"Delovi mašina za glaèanje podova, izuzev za domaæinstvo"
43000000-3,"Mašine za rudarstvo, kamenolome, oprema za graðevinarstvo"
43100000-4,Rudarska oprema
43120000-0,"Mašine za rezanje uglja ili stena, za probijanje tunela i za bušenje ili kopanje vertikalnih rovova"
43121000-7,Mašine za bušenje bušotina
43121100-8,Oprema za obradu bušotinskih glava
43121200-9,Aparati za povezivanje ulaznih cevi
43121300-0,Oprema za završavanje bušotina
43121400-1,Oprema za intervencije u bušotinama
43121500-2,Oprema za ispitivanje bušotina
43121600-3,Aparati za spreèavanje erupcije bušotine
43122000-4,Mašine za rezanje uglja ili stena
43123000-1,Mašine za probijanje tunela
43124000-8,Mašine za bušenje
43124100-9,Mašine za bušenje tunela
43124900-7,Oprema za bušenje stena
43125000-5,Mašine za bušenje (na velikim dubinama)
43130000-3,Oprema za bušenje
43131000-0,Proizvodne platforme na puèini
43131100-1,Oprema za rad na puèini
43131200-2,Jedinica za bušenje na puèini
43132000-7,Oprema za naftne bušotine
43132100-8,Mašine za bušenje
43132200-9,Platforma za bušenje
43132300-0,Burgije
43132400-1,Oprema za vodove
43132500-2,Nosaèi (spojke) za cevi u bušotinama
43133000-4,Oprema za naftne platforme
43133100-5,Noseæe èeliène jedinice
43133200-6,Moduli postavljeni na noseæe jedinice
43134000-1,Mašine za naftna polja
43134100-2,Potapajuæe pumpe
43135000-8,Podvodna oprema
43135100-9,Podvodni kontrolni sistemi
43136000-5,Oprema za bušotine
43140000-6,Pokretni hidraulièni rudarski potporni stubovi
43200000-5,Mašine za zemljane radove i iskopavanje i pripadajuæi delovi
43210000-8,Mašine za zemljane radove
43211000-5,Buldožeri
43212000-2,Ugaone kopaèice (engldozeri)
43220000-1,Mašine za ravnanje (grederi)
43221000-8,Drumski grederi
43230000-4,Skreperi
43240000-7,Mašine za nabijanje
43250000-0,Utovarivaèi sa prednjom lopatom
43251000-7,Utovarivaèi sa prednjom lopatom i zadnjom kašikom
43252000-4,Utovarivaèi sa prednjom lopatom bez zadnje kašike
43260000-3,"Mehanièke lopate, bageri ekskavatori i utovarivaèi i mašine za rudarstvo"
43261000-0,Mehanièke lopate
43261100-1,Utovarivaèi sa mehanièkom lopatom
43262000-7,Mašine za vršenje iskopa
43262100-8,Mehanièki bageri ekskavatori
43300000-6,Graðevinske mašine i oprema
43310000-9,Mašine za niskogradnju
43311000-6,Zabijaèi šipova
43312000-3,Mašine za izradu kolovoza
43312100-4,Mašine za ravnanje (planeri)
43312200-5,Mašine za posipanje šljunka
43312300-6,Mašine za asfaltiranje
43312400-7,Drumski valjci
43312500-8,Mehanièki valjci
43313000-0,Plugovi za sneg i duvaèi snega
43313100-1,Plugovi za sneg
43313200-2,Duvaèi snega
43314000-7,Mašine za vaðenje šipova
43315000-4,Mašine za sabijanje
43316000-1,Mašine za polaganje kablova
43320000-2,Graðevinska oprema
43321000-9,Oprema za viseæe mostove
43322000-6,Oprema za demontažu
43323000-3,Oprema za navodnjavanje
43324000-0,Oprema za odvodnjavanje
43324100-1,Oprema za bazene za plivanje
43325000-7,Oprema za parkove i deèja igrališta
43325100-8,Oprema za održavanje terena
43327000-1,Montažna oprema
43328000-8,Hidrauliène instalacije
43328100-9,Hidraulièna oprema
43329000-5,Kompleti opreme
43400000-7,Mašine za preradu minerala i izradu livnièkih kalupa
43410000-0,Mašine za preradu minerala
43411000-7,Mašine za sortiranje i prosejavanje
43412000-4,Mašine za mešanje šljunka sa bitumenom
43413000-1,Mešalice za beton ili malter
43413100-2,Mešalice za cement
43414000-8,Mašine za brušenje
43414100-9,Ureðaji za drobljenje ugljena u prah
43415000-5,Livnièki kalupi
43420000-3,Mašine za izradu livnièkih kalupa
43500000-8,Vozila za polaganje koloseka
43600000-9,"Delovi mašina za rudarstvo, kamenolome i graðevinarstvo"
43610000-2,Delovi mašina za bušenje
43611000-9,Delovi mašina za bušenje bušotina
43611100-0,Èepovi za bušotine
43611200-1,Industrijske burgije
43611300-2,Ureðaji za vaðenje zaglavljenih bušotinskih cevi
43611400-3,Ureðaji za spajanje i odvajanje bušotinskih cevi
43611500-4,Obrtni stolovi
43611600-5,Oprema za suspenziju u zoni blata
43611700-6,Oprema za prièvršæivanje
43612000-6,Delovi mašina za crpljenje iz bušotine
43612100-7,Nosaèi zaštitnih cevi u bušotinama
43612200-8,Oprema za nosaèe cevi u bušotinama
43612300-9,Zatezaèi proizvodnih cevi za dizanje
43612400-0,Bušotinske glave
43612500-1,Oprema za prièvršæivanje proizvodnih cevi za dizanje
43612600-2,Sistemi za upravljanje bušotinskom glavom
43612700-3,Oprema za bušotinske glave
43612800-4,Sistemi za podizanje platformi
43613000-3,Delovi mašina za rezanje uglja ili stena
43613100-4,Delovi mašina za rezanje uglja
43613200-5,Delovi mašina za rezanje stena
43614000-0,Delovi mašina za probijanje tunela
43620000-5,Delovi mašina za obradu minerala
43630000-8,Delovi mašina za dubinsko bušenje
43640000-1,Delovi mašina za iskope
43700000-0,Mašine za metalurgiju i pripadajuæi delovi
43710000-3,Mašine za valjanje metala
43711000-0,Delovi mašina za valjanje metala
43720000-6,Mašine za livenje
43721000-3,Delovi mašina za livenje
43800000-1,Oprema za radionice
43810000-4,Oprema za obradu drveta
43811000-1,Ureðaji za peskarenje
43812000-8,Oprema za testerisanje
43820000-7,Obuæarska oprema
43830000-0,Elektrièni alati
43840000-3,Kovaèka oprema
44000000-0,"Graðevinske konstrukcije i materijali, pomoæni proizvodi u graðevinarstvu (izuzev elektriènih aparata)"
44100000-1,Graðevinski materijali i pripadajuæi proizvodi
44110000-4,Graðevinski materijali
44111000-1,Materijal za gradnju
44111100-2,Cigle
44111200-3,Cement
44111210-6,Cement za bušotine
44111300-4,Keramièki materijali
44111400-5,Boje i zidne obloge
44111500-6,Izolatori i izolacioni pribor
44111510-9,Izolatori
44111511-6,Elektrièni izolatori
44111520-2,Materijal za termièku izolaciju
44111530-5,Pribor za elektriènu izolaciju
44111540-8,Izolacijsko staklo
44111600-7,Blokovi
44111700-8,Ploèice
44111800-9,Malter (graðevinski)
44111900-0,Keramièke obloge
44112000-8,Razne graðevinske konstrukcije
44112100-9,Skloništa
44112110-2,Delovi skloništa
44112120-5,Delovi profila
44112200-0,Podne obloge
44112210-3,Èvrste podne obloge
44112220-6,Dvostruki podovi
44112230-9,Linoleum
44112240-2,Parket
44112300-1,Unutrašnje pregrade za prostorije
44112310-4,Pregradni zidovi
44112400-2,Krov
44112410-5,Krovišta
44112420-8,Krovni podupiraèi
44112430-1,Krovni rešetkasti nosaèi
44112500-3,Materijali za pokrivanje krovova
44112510-6,Šindra
44112600-4,Zvuèna izolacija
44112700-5,Grede
44113000-5,Materijali za izgradnju puteva
44113100-6,Materijali za asfaltiranje
44113120-2,Ploèe za asfaltiranje
44113130-5,Kamen za poploèavanje
44113140-8,Tucanik
44113200-7,Kamene ploèe
44113300-8,Obloženi materijali
44113310-1,Obloženi materijali za puteve
44113320-4,Obloženi tucanik
44113330-7,Materijali za oblaganje
44113500-0,Staklene kuglice za oznaèavanje puteva
44113600-1,Bitumen i asfalt
44113610-4,Bitumen
44113620-7,Asfalt
44113700-2,Materijali za popravljanje puteva
44113800-3,Materijali za asfaltiranje puteva
44113810-6,Površinska obrada
44113900-4,Materijali za održavanje puteva
44113910-7,Materijali za zimsku službu na putevima
44114000-2,Beton
44114100-3,Transportni beton
44114200-4,Proizvodi od betona
44114210-7,Betonski šipovi
44114220-0,Betonske cevi i pribor
44114250-9,Betonske ploèe
44115000-9,Graðevinski okovi
44115100-0,Kanalice
44115200-1,Materijal za vodoinstalaterske poslove i grejanje
44115210-4,Vodoinstalaterski materijal
44115220-7,Materijal za grejanje
44115310-5,Roletne
44115400-3,Krovni prozori
44115500-4,Sistemi prskalica
44115600-5,Lift – sedište uz stepenice
44115700-6,Spoljne žaluzine
44115710-9,Baldahini
44115800-7,Predmeti za unutrašnje opremanje
44115810-0,Garnišne i držaèi zavesa
44115811-7,Garnišne
44115900-8,Ureðaji za zaštitu od sunca
44130000-0,Glavni prikljuèak na kanalizaciju
44131000-7,Kanalizacione komore
44132000-4,Propusti
44133000-1,Spoljni poklopci od daktilnog gvožða
44134000-8,Lukovi
44140000-3,Proizvodi povezani sa graðevinskim materijalima
44141000-0,Instalacioni vodovi
44141100-1,Elektrièni vodovi
44142000-7,Okviri
44143000-4,Palete
44144000-1,Stubovi
44160000-9,"Cevovodi, cevni sistemi, cevi, omotaèi cevi i srodni artikli"
44161000-6,Cevovodi
44161100-7,Gasovodi
44161110-0,Mreže za distribuciju gasa
44161200-8,Glavni prikljuèak na vodovod
44161400-0,Podvodni cevovod
44161410-3,Podmorski cevovodi
44161500-1,Cevovod pod visokim pritiskom
44161600-2,Cevovod pod niskim pritiskom
44161700-3,"Roboti za automatski nadzor kvarova, korozije i pukotina cevovoda"
44161710-6,"Ureðaji za spuštanje robota za automatski nadzor kvarova, korozije i pukotina u cevovode"
44161720-9,"Ureðaji za vaðenje robota za automatski nadzor kvarova, korozije i pukotina iz cevovoda"
44161730-2,"Zaptivni sistemi za sigurno spuštanje robota za automatski nadzor kvarova, korozije i pukotina u cevovode"
44162000-3,Cevovod
44162100-4,Potrepštine za cevovod
44162200-5,Distribucioni cevovod
44162300-6,Ispustni cevovod
44162400-7,Vitrifikovani otvori od glazirane keramike
44162500-8,Cevni sistemi za pitku vodu
44163000-0,Cevi i armatura
44163100-1,Cevi
44163110-4,Drenažne cevi
44163111-1,Odvodne cevi
44163112-8,Cevi za odvodnjavanje
44163120-7,Cevi za daljinsko grejanje
44163121-4,Cevi za grejanje
44163130-0,Kanalizacione cevi
44163140-3,Cevi za vodu i paru
44163150-6,Cevi niskog pritiska
44163160-9,Distribucione cevi i pribor
44163200-2,Pribor za cevi
44163210-5,Cevne obujmice
44163230-1,Cevne spojnice
44163240-4,Cevni nastavci
44163241-1,Izolovani cevni nastavci
44164000-7,Zaštitne cevi i proizvodne cevi
44164100-8,Zaštitne cevi
44164200-9,Proizvodne cevi
44164300-0,Cevasti proizvodi
44164310-3,Cevi i pribor
44165000-4,"Creva, uvodne cevi i naglavci"
44165100-5,Creva
44165110-8,Creva za bušenje
44165200-6,Uvodne cevi
44165210-9,Savitljive uvodne cevi
44165300-7,Naglavci
44166000-1,Cevasti proizvodi za naftna polja
44167000-8,Razlièiti pribor za cevi
44167100-9,Spojnice
44167110-2,Prirubnice
44167111-9,Adapteri za prirubnice
44167200-0,Sanacioni prstenovi i obujmice
44167300-1,"Lukovi, T-spojevi i pribor za cevi"
44167400-2,Kolena
44170000-2,"Ploèe, limovi, trake i folije u vezi sa graðevinskim materijalom"
44171000-9,Ploèe (graðevinarstvo)
44172000-6,Limovi (graðevinarstvo)
44173000-3,Traka
44174000-0,Folija
44175000-7,Paneli
44176000-4,Film
44190000-8,Razni graðevinski materijali
44191000-5,Razni graðevinski materijali od drveta
44191100-6,Šperploèa
44191200-7,Laminirano drvo
44191300-8,Ploèe iverice
44191400-9,Ploèe vlaknatice
44191500-0,Zgusnuto drvo
44191600-1,Parketne ploèe
44192000-2,Drugi razni graðevinski materijal
44192100-3,PVC pena
44192200-4,Ekseri
44200000-2,Konstrukcioni proizvodi
44210000-5,Konstrukcije i delovi konstrukcija
44211000-2,Montažne zgrade
44211100-3,Modularne i prenosne zgrade
44211110-6,Kabine
44211200-4,Svlaèionice na bazenima
44211300-5,Poljske bolnice
44211400-6,Poljske kuhinje
44211500-7,Staklenici
44212000-9,"Konstrukcioni proizvodi i delovi, izuzev montažnih zgrada"
44212100-0,Mostovi
44212110-3,Delovi mostova
44212120-6,Mostne konstrukcije
44212200-1,"Tornjevi, rešetkasti stubovi, obrtne dizalice i piloni"
44212210-4,Obrtne dizalice
44212211-1,Tornjevi za bušenje
44212212-8,Statièni tornjevi za bušenje
44212220-7,"Piloni, stubovi i kolci"
44212221-4,Piloni
44212222-1,Piloni dalekovoda
44212223-8,Postolja pilona
44212224-5,Stubovi za vazdušne vodove
44212225-2,Stubovi
44212226-9,Stubovi za elektriène mreže
44212227-6,Kolci
44212230-0,Tornjevi
44212233-1,Vodeni tornjevi
44212240-3,Nosaèi
44212250-6,Jarboli
44212260-9,Radijski i televizijski tornjevi
44212261-6,Radijski tornjevi
44212262-3,Televizijski tornjevi
44212263-0,Rešetkasti stubovi
44212300-2,Konstrukcije i delovi
44212310-5,Skele
44212311-2,Podupiraèi lukova
44212312-9,Stubovi lukova
44212313-6,Potpore
44212314-3,Konzole za vešanje cevi
44212315-0,Oprema za skele
44212316-7,Držaèi svodova
44212317-4,Konstrukcije skela
44212318-1,Oslonci cevovoda
44212320-8,Razne konstrukcije
44212321-5,Èekaonice na autobuskim stanicama
44212322-2,Telefonske govornice
44212329-1,Sigurnosni ekrani
44212380-6,Delovi konstrukcija
44212381-3,Obloge
44212382-0,Brane
44212383-7,Vrata prevodnice
44212390-9,Zapornice
44212391-6,Zaporne brane
44212400-3,Šipovi
44212410-6,Postavljanje šipova
44212500-4,Ugaonici i profili
44212510-7,Ugaonici
44212520-0,Profili
44220000-8,Graðevinska stolarija
44221000-5,"Prozori, vrata i srodni artikli"
44221100-6,Prozori
44221110-9,Prozorski okviri
44221111-6,Jedinice sa dvostrukim staklom
44221120-2,Francuski prozori
44221200-7,Vrata
44221210-0,Nedovršena vrata
44221211-7,Okviri vrata
44221212-4,Vratne rešetke
44221213-1,Pragovi vrata
44221220-3,Požarna vrata
44221230-6,Klizna vrata
44221240-9,Garažna vrata
44221300-8,Dvorišna vrata
44221310-1,Prilazna vrata
44221400-9,Prozorski kapci
44221500-0,Kuæni pragovi
44230000-1,Tesarski proizvodi za graðevinarstvo
44231000-8,Gotove letve za ograde
44232000-5,Drveni krovni rešetkasti nosaèi
44233000-2,Stubišta
44300000-3,"Kablovi, žice i srodni proizvodi"
44310000-6,Proizvodi od žice
44311000-3,Upletena žica
44312000-0,Žica za ogradu
44312300-3,Bodljikava žica
44313000-7,Metalna mreža
44313100-8,Ograda od žièane rešetke
44313200-9,Žièane tkanine
44315000-1,Žièane šipke
44315100-2,Pribor za zavarivanje
44315200-3,Materijal za zavarivanje
44315300-4,Materijal za lemljenje ili tvrdo lemljenje
44315310-7,Materijal za lemljenje
44315320-0,Materijal za tvrdo lemljenje
44316000-8,Gvožðarija
44316100-9,Nakovnji
44316200-0,Prenosna kovaènica
44316300-1,Rešetke
44316400-2,Metalni proizvodi
44316500-3,Limarski proizvodi
44316510-6,Kovaèki proizvodi
44317000-5,Omèe od gvožða ili èelika
44318000-2,Provodnici
44320000-9,Kablovi i srodni proizvodi
44321000-6,Kablovi
44322000-3,Pribor za kablove
44322100-4,Kablovski vodovi
44322200-5,Kablovske spojnice
44322300-6,Kablovski kanali
44322400-7,Sredstva za prièvršæivanje kablova
44330000-2,"Šipke, štapovi, žica i profili koji se koriste u graðevinarstvu"
44331000-9,Šipke
44332000-6,Štapovi (konstrukcije)
44333000-3,Žica
44334000-0,Profili
44400000-4,Razni gotovi proizvodi i srodni artikli
44410000-7,Proizvodi za kupatila i kuhinje
44411000-4,Sanitarni proizvodi
44411100-5,Slavine
44411200-6,Kade
44411300-7,Lavaboi
44411400-8,Tuš kabine
44411600-0,Bidei
44411700-1,"Klozetska sedišta, poklopci, šolje i vodokotliæi"
